station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,NO2,0.0,,µg/m³,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,O3,10.4,,µg/m³,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,CO,147.1,,µg/m³,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,SO2,3.8,,µg/m³,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,PM10,5.0,,µg/m³,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,PM2.5,3.7,,µg/m³,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,Temperatura,8.2,,°C,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,Vlažnost,89.9,,%,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,Buka,60.5,,dB,2026-09-25T08:07:45+02:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-25T07:00,EAQI kategorija,,Dobro,,2026-09-25T08:07:45+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,NO2,26.9,,µg/m³,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,O3,2.9,,µg/m³,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,CO,345.9,,µg/m³,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,SO2,5.8,,µg/m³,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,PM10,4.1,,µg/m³,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,PM2.5,2.6,,µg/m³,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,Temperatura,6.8,,°C,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,Vlažnost,96.1,,%,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,Buka,67.0,,dB,2026-09-25T08:07:46+02:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-25T07:00,EAQI kategorija,,Dobro,,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,CH3SH,5.0,,µg/m³,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,SO2,4.6,,µg/m³,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,NH3,7.2,,µg/m³,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,H2S,4.4,,µg/m³,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,Temperatura,6.9,,°C,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,Vlažnost,97.6,,%,2026-09-25T08:07:46+02:00
rWwjvJVwyR,Kolodvorska ulica,2026-09-25T07:00,Vjetar,0.4,,m/s,2026-09-25T08:07:46+02:00
