station_id,station_name,measured_at,parameter,value,text_value,unit,fetched_at
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,NO2,0.4,,µg/m³,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,O3,5.7,,µg/m³,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,CO,146.5,,µg/m³,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,SO2,3.8,,µg/m³,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,PM10,4.1,,µg/m³,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,PM2.5,3.0,,µg/m³,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,Temperatura,13.6,,°C,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,Vlažnost,88.6,,%,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,Buka,61.6,,dB,2026-09-11T23:16:15+00:00
BpoVZnko4a,Trg Ivana Pavla II,2026-09-12T01:00,EAQI kategorija,,Dobro,,2026-09-11T23:16:15+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,NO2,25.8,,µg/m³,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,O3,4.9,,µg/m³,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,CO,314.3,,µg/m³,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,SO2,6.2,,µg/m³,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,PM10,6.3,,µg/m³,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,PM2.5,2.7,,µg/m³,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,Temperatura,12.9,,°C,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,Vlažnost,93.7,,%,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,Buka,62.2,,dB,2026-09-11T23:16:16+00:00
y0wgpaembO,Trg žrtava fašizma 8,2026-09-12T01:00,EAQI kategorija,,Dobro,,2026-09-11T23:16:16+00:00
